,Unnamed: 0,name,candidate_id,candidate_state,party,incumbent_challenge_full,cycles,donation_count_in_state,total_raised_in_state,donation_count_out_of_state,total_raised_out_of_state,0,Color
22,22,"ESPY, MICHAEL",S8MS00287,MS,DEM,Challenger,"[2018, 2020]",1005,252770.89,1238,529673.26,FALSE,Red
23,23,"FRANKEN, MICHAEL",S0IA00200,IA,DEM,Challenger,[2020],641,181990.73,829,382640.58,FALSE,Purple
24,24,"FULLER, TREVOR MICHAEL",S0NC00285,NC,DEM,Challenger,[2020],31,21150,6,3800,FALSE,Red
25,25,"GARCIA, ANNE",S0TX00381,TX,DEM,Challenger,[2020],9,7350,5,6100,FALSE,Red
26,26,"GARCIA, LORENA LORENA FOR",S0CO00435,CO,DEM,Challenger,"[2018, 2020]",354,45220.88,75,20260.7,FALSE,Blue
27,27,"GIDEON, SARA",S0ME00111,ME,DEM,Challenger,[2020],7059,1869590.45,50579,12724548.25,TRUE,Purple
28,28,"GRAHAM, KIMBERLY",S0IA00168,IA,DEM,Challenger,[2020],315,28971.2,315,83624.55,TRUE,Purple
29,29,"GREENFIELD, THERESA",S0IA00176,IA,DEM,Challenger,[2020],4980,1037427.53,14909,6573459.34,TRUE,Purple
30,30,"GRISSOM, BARRY",S0KS00232,KS,DEM,Open seat,[2020],311,187812.89,246,232667,FALSE,Red
31,31,"HAMM, LAWRENCE MR.",S0NJ00233,NJ,DEM,Challenger,[2020],67,41504,7,2500,FALSE,Blue
32,32,"HARRIS, NANCY LYNN",S0ID00149,ID,DEM,Challenger,[2020],22,8121.2,4,1000,TRUE,Red
33,33,"HARRISON, JAIME",S0SC00289,SC,DEM,Challenger,[2020],18931,1718735.23,105000,10123577.95,TRUE,Red
34,34,"HART, CLARA M MS",S0SD00096,SD,DEM,Challenger,[2020],1,400,,,TRUE,Red
35,35,"HEGAR, MARY JENNINGS MJ",S0TX00233,TX,DEM,Challenger,[2020],11379,1602179.74,5263,2231961.27,TRUE,Red
36,36,"HICKENLOOPER, JOHN W.",S0CO00575,CO,DEM,Challenger,[2020],12424,3398213.56,13374,7071317.43,TRUE,Blue
37,37,"HILLIARD, MAGGIE JO",S0KY00511,KY,DEM,Challenger,[2020],1,5600,2,490.12,FALSE,Red
38,38,"HILLIARD, MAGGIE JO",S0KY00487,KY,DEM,Challenger,[2020],1,5600,2,490.12,FALSE,Red
39,39,"JACKSON, DEBORAH A",S0GA00591,GA,DEM,Challenger,[2020],5,2300,4,1650,FALSE,Red
40,40,"JANICEK, CHRIS EDWARD MR",S8NE00216,NE,DEM,Challenger,"[2018, 2020]",58,18153.19,15,6995,TRUE,Red
41,41,"JOHNSON-SHEALEY, TAMARA",S0GA00484,GA,DEM,Challenger,[2020],14,3690,29,5048.5,TRUE,Red
42,42,"JOHNSTON, MICHAEL C",S0CO00468,CO,DEM,Challenger,[2020],1808,1400694.74,1421,2088698.91,TRUE,Blue
43,43,"JONES, DOUG",S0AL00156,AL,DEM,Incumbent,"[2002, 2004, 2018, 2020]",6869,1569818.78,28772,7150753.95,FALSE,Red
44,44,"JONES, MATT",S0KY00370,KY,DEM,Challenger,[2020],1,2800,3,8400,FALSE,Red
45,45,"JORDAN LAWLOR, MARILYN",S0IL00576,IL,DEM,Challenger,[2020],11,3716,,,FALSE,Blue
46,46,"JORDAN, PAULETTE",S0ID00180,ID,DEM,Challenger,[2020],266,66178.58,132,52048.56,FALSE,Red
47,47,"KELLY, MARK",S0AZ00350,AZ,DEM,Challenger,[2020],49292,6322262.65,99114,18429967.21,TRUE,Red
48,48,"KENNEDY, JOSEPH P III",S0MA00208,MA,DEM,Challenger,[2020],3953,2963065.05,5521,4430571.32,TRUE,Blue
49,49,"KIDMAN, BRE MX.",S0ME00087,ME,DEM,Challenger,[2020],21,2343.6,8,8820,TRUE,Purple
50,50,"KIMBROUGH, ROBIN",S0TN00268,TN,DEM,Open seat,[2020],19,5085,3,1200,TRUE,Red
51,51,"KNOX, JAMES",S0GA00674,GA,DEM,Challenger,[2020],1,300,,,TRUE,Red
52,52,"LAJEUNESSE, ROSS",S0ME00145,ME,DEM,Challenger,[2020],19,20450,360,264170,TRUE,Purple
53,53,"LIEBERMAN, MATTHEW",S0GA00468,GA,DEM,Challenger,[2020],214,131095.98,854,904189.24,TRUE,Red
54,54,"LISS-RIORDAN, SHANNON MS.",S0MA00166,MA,DEM,Challenger,[2020],308,64118.2,343,163724,TRUE,Blue
55,55,"LOVE, JOHN BENARD III",S0TX00308,TX,DEM,Challenger,[2020],34,21743,1,257.5,TRUE,Red
56,56,"LUDWIG, YANA",S0WY00129,WY,DEM,Open seat,[2020],28,5317.69,47,17879.78,TRUE,Red
57,57,"LUJAN, BEN RAY",S0NM00058,NM,DEM,Open seat,[2020],6815,957568.24,19841,2533686.32,FALSE,Blue
58,58,"MACKLER, JAMES",S8TN00311,TN,DEM,Open seat,"[2018, 2020]",4258,1187668.04,754,462207.96,FALSE,Red
59,59,"MADDEN, ALICE",S0CO00534,CO,DEM,Challenger,[2020],337,116502.43,82,34112.43,FALSE,Blue
60,60,"MAHONY, JOSHUA MR.",S0AR00200,AR,DEM,Challenger,[2020],287,87820,81,26305,FALSE,Red
61,61,"MANSFIELD, ERIC",S0NC00327,NC,DEM,Challenger,[2020],124,82791.72,14,16300,FALSE,Red
62,62,"MARKEY, EDWARD J. SEN.",S4MA00028,MA,DEM,Incumbent,"[1984, 1986, 1988, 2014, 2016, 2018, 2020]",18932,2796223.08,7742,3597620.23,FALSE,Blue
63,63,"MAURO, EDDIE J",S0IA00150,IA,DEM,Challenger,[2020],155,76184,157,117268,FALSE,Purple
64,64,"MCGRATH, AMY",S0KY00339,KY,DEM,Challenger,[2020],4816,645121.63,90172,17156112.75,FALSE,Red
65,65,"MERKLEY, JEFFREY ALAN",S8OR00207,OR,DEM,Incumbent,"[2008, 2010, 2012, 2014, 2016, 2018, 2020]",27811,1834286.77,10805,1151278.54,TRUE,Blue
66,66,"MUES, JOHN",S0MT00108,MT,DEM,Challenger,[2020],160,45109.16,134,68182,TRUE,Red
67,67,"NEUMANN, CORA",S0MT00132,MT,DEM,Challenger,[2020],183,96665,652,437578.11,TRUE,Red
68,68,"OJEDA, RICHARD",S0WV00249,WV,DEM,Challenger,[2020],,,11,13900,TRUE,Red
69,69,"OSSOFF, T. JONATHAN",S8GA00180,GA,DEM,Challenger,[2020],3502,1221597.71,8841,2453657.33,TRUE,Red
70,70,"PEMBERTON, STEVE",S0MA00182,MA,DEM,Challenger,[2020],123,98125,382,324585,TRUE,Blue
71,71,"PETERS, GARY",S4MI00355,MI,DEM,Incumbent,"[2014, 2016, 2018, 2020]",29820,4958902.28,17303,7332970.28,TRUE,Purple
72,72,"PHILIPS, ANGELIC MARIE",S0NE00072,NE,DEM,Challenger,[2020],39,6277.62,,,TRUE,Red
73,73,"PICKRELL, MARK",S0TN00284,TN,DEM,Open seat,[2020],1,250,,,TRUE,Red
74,74,"PIERCE, ANTOINE",S0LA00311,LA,DEM,Challenger,[2020],19,31925.5,3,5385,TRUE,Red
75,75,"REDDI, USHA",S0KS00307,KS,DEM,Open seat,[2020],81,39703.98,85,51380.5,FALSE,Red
76,76,"REED, JOHN F.",S6RI00163,RI,DEM,Incumbent,"[1996, 1998, 2000, 2002, 2004, 2006, 2008, 2010, 2012, 2014, 2016, 2018, 2020]",670,341876.27,975,983148.31,FALSE,Blue
77,77,"RIGGS AMICO, SARAH",S0GA00401,GA,DEM,Challenger,[2020],581,218001.8,429,347632.56,FALSE,Red
78,78,"ROGERS, BEVON",S0OK00354,OK,DEM,Challenger,[2020],3,1250,,,FALSE,Red
79,79,"ROMANOFF, ANDREW",S0CO00286,CO,DEM,Challenger,"[2010, 2012, 2014, 2016, 2018, 2020]",13853,1851289.4,1440,314913.15,FALSE,Blue
80,80,"ROTHMULLER, ERIC",S0KY00388,KY,DEM,Challenger,[2020],,,1,500,FALSE,Red
81,81,"SCARANE, JESSICA",S0DE00175,DE,DEM,Challenger,[2020],323,49291.91,540,85535.67,TRUE,Blue
82,82,"SHAHEEN, JEANNE",S0NH00219,NH,DEM,Incumbent,"[2002, 2004, 2006, 2008, 2010, 2012, 2014, 2016, 2018, 2020]",10288,1699083.02,32844,6887654.62,TRUE,Blue
83,83,"SHELTON, ALISHA",S0NE00098,NE,DEM,Challenger,[2020],22,10695,10,5120.2,TRUE,Red
84,84,"SHOUSE, HAROLD SHELBY MR JR",S0GA00435,GA,DEM,Challenger,[2020],1,350,,,TRUE,Red
85,85,"SMITH, ERICA DANETTE",S0NC00343,NC,DEM,Challenger,[2020],1129,115482.02,616,45135.59,TRUE,Red
86,86,"SMITH, TINA",S8MN00578,MN,DEM,Incumbent,"[2018, 2020]",12672,1986934.38,10406,3451495.7,FALSE,Blue
87,87,"SPAULDING, STEPHANY ROSE",S0CO00484,CO,DEM,Challenger,[2020],399,50561.55,71,26599.31,FALSE,Blue
88,88,"SWEARENGIN, PAULA JEAN",S0WV00215,WV,DEM,Challenger,[2020],201,12206,1106,210064.47,FALSE,Red
89,89,"SWEET, BETSY",S0ME00103,ME,DEM,Challenger,[2020],1761,197807.34,1378,204638.47,FALSE,Purple
90,90,"TARVER, EDWARD J.",S0GA00583,GA,DEM,Challenger,[2020],173,93284.81,52,24596.72,FALSE,Red
91,91,"TERRY, EDWARD",S0GA00419,GA,DEM,Challenger,[2020],168,50937,43,11705,TRUE,Red
92,92,"TINUBU, GLORIA BROMELL DR.",S0SC00305,SC,DEM,Challenger,[2020],7,4760,16,9450,TRUE,Red
93,0,"ADAIR, STANLEY E",S0AL00248,AL,REP,Challenger,[2020],11,1428.99,,,FALSE,Red
94,1,"ADKINS, GARY GENE",S0VA00096,VA,REP,Challenger,[2020],2,3200,,,FALSE,Blue
95,2,"ALEXANDER, LAMAR",S2TN00058,TN,REP,Incumbent,"[2002, 2004, 2006, 2008, 2010, 2012, 2014, 2016, 2018, 2020]",,,2,5000,FALSE,Red
96,3,"AYYADURAI, SHIVA DR",S8MA00268,MA,REP,Challenger,"[2018, 2020]",35,9781.79,223,114574.22,FALSE,Blue
97,4,"BALDWIN, ALISSA",S0VA00070,VA,REP,Challenger,[2020],10,885,,,FALSE,Blue
98,5,"BARRETT, ROBERT PAUL MR JR.",S0MN00294,MN,REP,Challenger,[2020],25,14192,8,8532,FALSE,Blue
99,6,"BIERSCHWALE, VIRGIL",S0TX00365,TX,REP,Challenger,[2020],26,904,,,FALSE,Red
100,7,"BOLDUC, DONALD C.",S0NH00326,NH,REP,Challenger,[2020],484,189893.64,601,370928.86,FALSE,Blue
101,8,"BORGLUM, SCYLLER",S0SD00088,SD,REP,Challenger,[2020],25,9471.48,24,18046.71,FALSE,Red
102,9,"BRITTAIN, CRAIG R",S8AZ00189,AZ,REP,Challenger,"[2018, 2020]",2,1015.58,,,FALSE,Red
103,10,"BROOKS, NATISHA",S0TN00235,TN,REP,Open seat,[2020],8,1080,,,TRUE,Red
104,11,"BUCKNER, DWAYNE DUKE",S0SC00321,SC,REP,Challenger,[2020],13,5600,2,500,TRUE,Red
105,12,"BUSH, BYRON",S0TN00201,TN,REP,Open seat,[2020],9,7250,1,500,TRUE,Red
106,13,"BYRNE, BRADLEY ROBERTS",S0AL00206,AL,REP,Challenger,[2020],1436,1497586,260,339073,TRUE,Red
107,14,"CAPITO, SHELLEY MOORE",S4WV00159,WV,REP,Incumbent,"[2012, 2014, 2016, 2018, 2020]",506,400121.4,1258,1523971.44,TRUE,Red
108,15,"CASSIDY, WILLIAM M.",S4LA00107,LA,REP,Incumbent,"[2014, 2016, 2018, 2020]",1807,1168324.52,2529,2156010,TRUE,Red
109,16,"CHLEBEK, CASEY",S0IL00550,IL,REP,Challenger,[2020],1,250,1,1000,TRUE,Blue
110,17,"CLARKSON, GAVIN",S0NM00066,NM,REP,Open seat,[2020],223,56802.24,1208,599178.87,TRUE,Blue
111,18,"COLLINS, DOUGLAS ALLEN",S0GA00567,GA,REP,Challenger,[2020],1414,753790.02,958,417814.22,FALSE,Red
112,19,"COLLINS, SUSAN M.",S6ME00159,ME,REP,Incumbent,"[1996, 1998, 2000, 2002, 2004, 2006, 2008, 2010, 2012, 2014, 2016, 2018, 2020]",2473,881118,15657,9268915.87,FALSE,Purple
113,20,"CORNYN, JOHN SEN",S2TX00106,TX,REP,Incumbent,"[2002, 2004, 2006, 2008, 2010, 2012, 2014, 2016, 2018, 2020]",34021,7201514.32,9996,3477330.18,FALSE,Red
114,21,"COTTON, THOMAS",S4AR00103,AR,REP,Incumbent,"[2014, 2016, 2018, 2020]",3363,652921.76,9997,2616793.57,FALSE,Red
115,22,"CURRAN, MARK",S0IL00543,IL,REP,Challenger,[2020],132,90925,14,20150,FALSE,Blue
116,23,"DAINES, STEVE",S2MT00096,MT,REP,Incumbent,"[2010, 2012, 2014, 2016, 2018, 2020]",3149,1709581.97,7642,4463834.38,TRUE,Red
117,24,"DEMARTINO, JAMES",S0DE00191,DE,REP,Challenger,[2020],8,3960,18,8500,FALSE,Blue
118,25,"DUNN, BLAINE P HON.",S0VA00187,VA,REP,Challenger,[2020],3,1750,1,1000,FALSE,Blue
119,26,"ENZI, MICHAEL B",S6WY00126,WY,REP,Incumbent,"[1996, 1998, 2000, 2002, 2004, 2006, 2008, 2010, 2012, 2014, 2016, 2018, 2020]",,,25,16600,FALSE,Red
120,27,"ERNST, JONI K",S4IA00129,IA,REP,Incumbent,"[2014, 2016, 2018, 2020]",8457,1674502.85,17995,4927650.45,FALSE,Purple
