,name,candidate_id,candidate_state,party,incumbent_challenge_full,office_full,cycles,election_years,candidate_status,donor_state,donation_count,total_raised,in_state
130,"CARDIN, BENJAMIN L",S6MD03177,MD,DEM,Incumbent,Senate,"[2000, 2006, 2008, 2010, 2012, 2014, 2016, 2018, 2020]","[2000, 2006, 2012, 2018, 2024]",C,AR,2,1500.0,False
131,"CARDIN, BENJAMIN L",S6MD03177,MD,DEM,Incumbent,Senate,"[2000, 2006, 2008, 2010, 2012, 2014, 2016, 2018, 2020]","[2000, 2006, 2012, 2018, 2024]",C,AZ,2,900.0,False
132,"CARDIN, BENJAMIN L",S6MD03177,MD,DEM,Incumbent,Senate,"[2000, 2006, 2008, 2010, 2012, 2014, 2016, 2018, 2020]","[2000, 2006, 2012, 2018, 2024]",C,CA,168,164442.5,False
133,"CARDIN, BENJAMIN L",S6MD03177,MD,DEM,Incumbent,Senate,"[2000, 2006, 2008, 2010, 2012, 2014, 2016, 2018, 2020]","[2000, 2006, 2012, 2018, 2024]",C,CO,38,44300.0,False
134,"CARDIN, BENJAMIN L",S6MD03177,MD,DEM,Incumbent,Senate,"[2000, 2006, 2008, 2010, 2012, 2014, 2016, 2018, 2020]","[2000, 2006, 2012, 2018, 2024]",C,CT,9,16300.0,False
135,"CARDIN, BENJAMIN L",S6MD03177,MD,DEM,Incumbent,Senate,"[2000, 2006, 2008, 2010, 2012, 2014, 2016, 2018, 2020]","[2000, 2006, 2012, 2018, 2024]",C,DC,126,130605.17,False
136,"CARDIN, BENJAMIN L",S6MD03177,MD,DEM,Incumbent,Senate,"[2000, 2006, 2008, 2010, 2012, 2014, 2016, 2018, 2020]","[2000, 2006, 2012, 2018, 2024]",C,DE,15,15250.0,False
137,"CARDIN, BENJAMIN L",S6MD03177,MD,DEM,Incumbent,Senate,"[2000, 2006, 2008, 2010, 2012, 2014, 2016, 2018, 2020]","[2000, 2006, 2012, 2018, 2024]",C,FL,77,106260.0,False
138,"CARDIN, BENJAMIN L",S6MD03177,MD,DEM,Incumbent,Senate,"[2000, 2006, 2008, 2010, 2012, 2014, 2016, 2018, 2020]","[2000, 2006, 2012, 2018, 2024]",C,GA,4,4500.0,False
139,"CARDIN, BENJAMIN L",S6MD03177,MD,DEM,Incumbent,Senate,"[2000, 2006, 2008, 2010, 2012, 2014, 2016, 2018, 2020]","[2000, 2006, 2012, 2018, 2024]",C,HI,1,2500.0,False
140,"CARDIN, BENJAMIN L",S6MD03177,MD,DEM,Incumbent,Senate,"[2000, 2006, 2008, 2010, 2012, 2014, 2016, 2018, 2020]","[2000, 2006, 2012, 2018, 2024]",C,IL,44,34050.0,False
141,"CARDIN, BENJAMIN L",S6MD03177,MD,DEM,Incumbent,Senate,"[2000, 2006, 2008, 2010, 2012, 2014, 2016, 2018, 2020]","[2000, 2006, 2012, 2018, 2024]",C,IN,3,2250.0,False
142,"CARDIN, BENJAMIN L",S6MD03177,MD,DEM,Incumbent,Senate,"[2000, 2006, 2008, 2010, 2012, 2014, 2016, 2018, 2020]","[2000, 2006, 2012, 2018, 2024]",C,KS,3,5700.0,False
143,"CARDIN, BENJAMIN L",S6MD03177,MD,DEM,Incumbent,Senate,"[2000, 2006, 2008, 2010, 2012, 2014, 2016, 2018, 2020]","[2000, 2006, 2012, 2018, 2024]",C,KY,2,5400.0,False
144,"CARDIN, BENJAMIN L",S6MD03177,MD,DEM,Incumbent,Senate,"[2000, 2006, 2008, 2010, 2012, 2014, 2016, 2018, 2020]","[2000, 2006, 2012, 2018, 2024]",C,LA,7,7600.0,False
145,"CARDIN, BENJAMIN L",S6MD03177,MD,DEM,Incumbent,Senate,"[2000, 2006, 2008, 2010, 2012, 2014, 2016, 2018, 2020]","[2000, 2006, 2012, 2018, 2024]",C,MA,43,71750.0,False
146,"CARDIN, BENJAMIN L",S6MD03177,MD,DEM,Incumbent,Senate,"[2000, 2006, 2008, 2010, 2012, 2014, 2016, 2018, 2020]","[2000, 2006, 2012, 2018, 2024]",C,MD,1401,1128677.15,True
147,"CARDIN, BENJAMIN L",S6MD03177,MD,DEM,Incumbent,Senate,"[2000, 2006, 2008, 2010, 2012, 2014, 2016, 2018, 2020]","[2000, 2006, 2012, 2018, 2024]",C,MI,36,34250.0,False
148,"CARDIN, BENJAMIN L",S6MD03177,MD,DEM,Incumbent,Senate,"[2000, 2006, 2008, 2010, 2012, 2014, 2016, 2018, 2020]","[2000, 2006, 2012, 2018, 2024]",C,MN,7,5250.0,False
149,"CARPER, THOMAS R.",S8DE00079,DE,DEM,,Senate,"[2000, 2002, 2004, 2006, 2008, 2010, 2012, 2014, 2016, 2018, 2020]","[2000, 2006, 2012, 2018, 2024]",F,AE,1,500.0,False
150,"CARPER, THOMAS R.",S8DE00079,DE,DEM,,Senate,"[2000, 2002, 2004, 2006, 2008, 2010, 2012, 2014, 2016, 2018, 2020]","[2000, 2006, 2012, 2018, 2024]",F,AR,4,4700.0,False
151,"CARPER, THOMAS R.",S8DE00079,DE,DEM,,Senate,"[2000, 2002, 2004, 2006, 2008, 2010, 2012, 2014, 2016, 2018, 2020]","[2000, 2006, 2012, 2018, 2024]",F,AZ,1,500.0,False
152,"CARPER, THOMAS R.",S8DE00079,DE,DEM,,Senate,"[2000, 2002, 2004, 2006, 2008, 2010, 2012, 2014, 2016, 2018, 2020]","[2000, 2006, 2012, 2018, 2024]",F,CA,54,84409.44,False
