,candidate_id,state,donation_count,total_raised,cycle
501,S2VA00142,GA,238,194053.66,2018
502,S2VA00142,HI,12,10895.0,2018
503,S2VA00142,IA,10,12475.0,2018
504,S2VA00142,ID,36,19024.0,2018
505,S2VA00142,IL,408,363919.25,2018
506,S2VA00142,IN,34,22350.0,2018
507,S2VA00142,KS,39,26775.0,2018
508,S2VA00142,KY,48,45573.86,2018
509,H2MA04073,AR,21,1215.0,2018
510,H2MA04073,AZ,58,5446.5,2018
511,H2MA04073,CA,1234,510467.2,2018
512,H2MA04073,CO,95,3187.5,2018
513,H2MA04073,CT,166,127783.25,2018
514,H2MA04073,DC,133,54948.68,2018
515,H2MA04073,DE,18,1553.0,2018
516,H2MA04073,FL,162,24427.45,2018
517,H2MA04073,GA,30,1194.0,2018
518,H2MA04073,HI,28,400.0,2018
519,H2MA04073,IA,3,81.0,2018
520,H2MA04073,ID,8,2805.0,2018
521,H2MA04073,IL,130,59839.5,2018
522,H2MA04073,IN,29,1832.0,2018
523,H2MA04073,KS,42,753.0,2018
524,H2MA04073,KY,5,1084.0,2018
525,H2MA04073,LA,17,1055.0,2018
526,H2MA04073,MA,2773,907995.49,2018
527,H2MA04073,MD,59,32380.5,2018
528,H2MA04073,ME,60,11625.0,2018
529,S8AL00365,AL,4,1100.0,2018
530,S8AL00365,AP,1,1092.0,2018
531,S8AL00365,AR,2,324.0,2018
532,S8AL00365,AZ,1,216.0,2018
533,S8AL00365,CA,1,250.0,2018
534,S8AL00365,FL,1,250.0,2018
535,S8AL00365,GA,8,2258.54,2018
536,S8AL00365,IL,1,500.0,2018
537,S8AL00365,MA,1,216.0,2018
538,S8AL00365,MD,3,1466.0,2018
539,S8AL00365,NC,3,1016.0,2018
540,S8AL00365,OR,1,250.0,2018
541,S8AL00365,PA,1,216.0,2018
542,S8AL00365,TN,2,608.0,2018
543,S8AL00365,TX,4,1500.0,2018
544,S8AL00365,VA,1,1350.0,2018
545,S8FL00240,AL,1,25.0,2018
546,S8FL00240,AR,2,10.0,2018
547,S8FL00240,CA,3,53.0,2018
548,S8FL00240,FL,40,1203.0,2018
549,S8FL00240,IN,1,25.0,2018
550,S8FL00240,MA,1,18.0,2018
551,S8FL00240,MD,5,171.0,2018
552,S8FL00240,ME,1,25.0,2018
553,S8FL00240,MI,3,225.0,2018
554,S8FL00240,MN,1,27.0,2018
555,S8FL00240,OR,1,25.0,2018
556,S8FL00240,OT,2,70.0,2018
557,S8FL00240,PA,1,5.0,2018
558,S8FL00240,SC,1,25.0,2018
559,S8FL00240,TN,8,277.0,2018
560,S8FL00240,TX,2,198.0,2018
561,S8TN00311,AA,3,750.0,2018
562,S8TN00311,AL,4,1005.0,2018
563,S8TN00311,AZ,4,550.0,2018
564,S8TN00311,CA,55,39550.0,2018
565,S8TN00311,CO,1,250.0,2018
566,S8TN00311,CT,6,6100.0,2018
567,S8TN00311,DC,16,4500.0,2018
568,S8TN00311,FL,22,9175.0,2018
569,S8TN00311,GA,16,4795.0,2018
570,S8TN00311,HI,1,500.0,2018
571,S8TN00311,IL,6,1980.0,2018
572,S8TN00311,IN,4,2000.0,2018
573,S8TN00311,KS,1,250.0,2018
574,S8TN00311,KY,8,1735.0,2018
575,S8TN00311,LA,3,1500.0,2018
576,S8TN00311,MA,24,25200.0,2018
577,S8TN00311,MD,10,18300.0,2018
578,S8TN00311,MI,2,1300.0,2018
579,S8TN00311,MN,1,400.0,2018
580,S8TN00311,MO,2,200.0,2018
581,S6NV00234,GA,6,490.0,2018
582,S6NV00234,MI,1,160.0,2018
583,S0WV00090,AA,2,2950.0,2018
584,S0WV00090,AK,3,2250.0,2018
585,S0WV00090,AL,61,126822.5,2018
586,S0WV00090,AR,6,7900.0,2018
587,S0WV00090,AZ,54,47600.0,2018
588,S0WV00090,CA,489,556040.76,2018
